PMC accession number (PMCID),Paragraph,IUPAC name,SMILES,1H NMR text,13C NMR text,1H NMR conditions,1H NMR chemical shifts,13C NMR conditions,13C NMR chemical shifts,PMID,Article Citation,Journal Name,Article publication time,License,LastUpdated (YYYY-MM-DD HH:MM:SS),Retracted
PMC10091418,"To a cold (0 °C) solution of 1 (347 mg, 0.236 mmol) in methanol (20 mL), stirring under dinitrogen flow, oxalyl chloride (320 mg, 217 μL, 2.53 mmol) was added slowly. The Schlenk vessel was closed with a septum with a needle—to allow the evolution of CO and CO2 during the reaction. The reaction mixture was stirred at room temperature for 24 h. After the reaction was completed (the “milky” solution changes to transparent), the solvent was evaporated. The resulting solid was washed three times with distilled water and dried in vacuo. The product was obtained as a white solid with a yield of 75% (238 mg, 0.178 mmol). 1H NMR (500 MHz, MeOD) δ 7.60–7.12 (m, -Ph, 40H), 2.83 (t, J = 7.4 Hz, CH2NH3+, 4H), 1.83–1.66 (m, SiCH2CH2CH2, 4H), 0.91–0.77 (m, SiCH2CH2CH2, 4H), 0.43 (d, J = 1.9 Hz, SiCH3, 6H). 13C NMR (126 MHz, MeOD) δ 134.95, 134.92, 132.60, 132.00, 129.13, 129.00 (Ph), 43.14 (CH2NH3+), 22.25 (SiCH2CH2CH2), 14.32 (SiCH2CH2CH2), −0.99 (SiCH3). 29Si NMR (99 MHz, MeOD) (cis/trans-isomers) δ −18.15 (SiCH3), −78.12, −78.90, −79.11, −79.32. (Si–O–Si-Ph). 29Si NMR (99 MHz, MeOD) (trans-isomer) δ −18.19 (SiCH3), −78.13, −79.11 (Si–O–Si-Ph). FT-IR (KBr, νmax/cm–1): 3435 (br, N–H), 3073, 3051, 3007 (C–Harom.), 2925 (C–Haliph.), 1600 (N–H), 1510 (N–H), 1594 (C=Carom), 1430 (Si–CH3), 1132 (br, Si–O–Si). Crystal data for C70.11Cl0.5H99.11N2O20.11Si10 (M = 1594.73 g/mol): trigonal, space group R3̅ (no. 148), a = 40.8750(10) Å, c = 13.253 Å, V = 19176.1(9) Å3, Z = 9, T = 100.00(10) K, μ(Cu Kα) = 2.142 mm–1, Dcalc = 1.243 g/cm3, 42 261 reflections measured (8.334 ≤ 2Θ ≤ 147.286°), 8274 unique (Rint = 0.0499, Rsigma = 0.0319), which were used in all calculations. The final R1 was 0.1023 (I > 2σ(I)) and wR2 was 0.3205 (all data).",N/A,N/A,"1H NMR (500 MHz, MeOD) δ 7.60–7.12 (m, -Ph, 40H), 2.83 (t, J = 7.4 Hz, CH2NH3+, 4H), 1.83–1.66 (m, SiCH2CH2CH2, 4H), 0.91–0.77 (m, SiCH2CH2CH2, 4H), 0.43 (d, J = 1.9 Hz, SiCH3, 6H)","13C NMR (126 MHz, MeOD) δ 134.95, 134.92, 132.60, 132.00, 129.13, 129.00 (Ph), 43.14 (CH2NH3+), 22.25 (SiCH2CH2CH2), 14.32 (SiCH2CH2CH2), −0.99 (SiCH3)","500 MHz, MeOD","7.60–7.12 (m, -Ph, 40H), 2.83 (t, J = 7.4 Hz, CH2NH3+, 4H), 1.83–1.66 (m, SiCH2CH2CH2, 4H), 0.91–0.77 (m, SiCH2CH2CH2, 4H), 0.43 (d, J = 1.9 Hz, SiCH3, 6H)","126 MHz, MeOD","134.95, 134.92, 132.60, 132.00, 129.13, 129.00, 43.14, 22.25, 14.32, −0.99",N/A,N/A,N/A,N/A,N/A,N/A,N/A
PMC6272141,"3.8. Synthesis of (9-Iodo-1,7-dicarba-closo-dodecarborane-1-yl)-ethyl carboxylate (9)Prepared according to the procedure described for compound 5; yield after purification: 78%. 1H-NMR (500 MHz, CDCl3): 4.22 (2H, q, CH2CH3), 3.15 (1H, s, cage C-H), 3.70–1.70 (10H, m, B10H10), 1.30 (3H, t, CH3CH2); 13C-NMR (126 MHz, CDCl3): 160.72, 73.65, 64.19, 55.64, 13.77. 11B-NMR (160 MHz, CDCl3): −3.84 (d, 1B), −5.91 (d, 1B), −8.55 (d, 1B), −10.12 (d, 1B), −11.15 (d, 1B), −11.99 (d, 1B), −13.12 (d, 1B), −15.59 (d, 1B), −17.58 (d, 1B), −23.76 (s, 1B).","(9-Iodo-1,7-dicarba-closo-dodecarborane-1-yl)-ethyl carboxylate",N/A,"1H-NMR (500 MHz, CDCl3): 4.22 (2H, q, CH2CH3), 3.15 (1H, s, cage C-H), 3.70–1.70 (10H, m, B10H10), 1.30 (3H, t, CH3CH2)","13C-NMR (126 MHz, CDCl3): 160.72, 73.65, 64.19, 55.64, 13.77","500 MHz, CDCl3","4.22 (2H, q, CH2CH3), 3.15 (1H, s, cage C-H), 3.70–1.70 (10H, m, B10H10), 1.30 (3H, t, CH3CH2)","126 MHz, CDCl3","160.72, 73.65, 64.19, 55.64, 13.77",25915463.0,Molecules. 2015 Apr 23; 20(5):7495-7508,Molecules,2015.0,CC BY,2021-01-05 22:02:35,no
PMC6255260,"3.5. Isolation of chysoeriol-7-O-rutinoside by preparative liquid chromatography Air dried plant material (500 g) was extracted with 1500 ml of methanol at 60 °C. Filtrated extract was evaporated to dryness and dissolved in 200 ml of methanol-water (1:1, v/v). Chlorophyll was removed by extraction with chloroform. Purified extract was evaporated under reduced pressure until methanol is removed. The water layer was partitioned against ethyl acetate. The ethyl acetate extract was again partitioned against water. This water extract was evaporated to dryness, dissolved in methanol and applied on silica gel 60, 20 x 20 cm, 1.0 mm thin layer TLC plates as a 15 cm band. The plate was developed using 100:25:10:10:11 (v/v/v/v/v) ethyl acetate-dichloromethane-formic acid-acetic acid-water The chromatographic band (RF=0.13) expected to contain the compound was scraped off and extracted with methanol. To purify the compound, preparative liquid chromatography was done once more using ethyl acetate-methanol-formic acid-water (100:13.5:2.5:10, v/v/v/v) as mobile phase and the same stationary phase. Purified compound (RF=0.25) was again extracted with methanol, filtered through 0.45 µm filter, evaporated to dryness, redissolved in methanol and checked for purity by HPLC-DAD-MS. UV λMeOH max (nm) 267, 272 sh, 342; + NaOMe 270, 277 sh, 391; +AlCl3 273, 297 sh, 347, 394; +AlCl3 - HCl 275, 297 sh, 349, 390 nm; + NaOAc 269, 346; +NaOAc - H3BO3 269, 350; IR νmax (KBr) 3400, 2958, 2831, 2790, 2716, 1600, 1412, 1360, 1148, 1115 cm-1; 1H-NMR: δ 1.97 (3H, d, J5''', 6''' = 8.6 Hz, H-6'''), 3.09 (2H, m, H-5'', H-5'''), 3.17 (2H, m, H-2'', H-3''), 3.21 (2H, m, H-4'', H-4'''), 3.32 (3H, s, H-7'), 3.88 (2H, m, H-2''', H-3'''), 3.90 (1H, m, H-6a''), 3.93 (1H, m, H-6b''), 4.26 (1H, d, J1'', 2'' = 4.7 Hz, H-1'''), 4.85-5.11 (8H, m, OH -5, -4', -2'', -3'', -4'', -2''', -3''', -4'''), 6.79 (1H, s, H-6), 6.86 (1H, s, H-3), 7.03 (1H, s, H-8), 7.10 (1H, d, J5', 6' = 0.99, H-5'), 7.28 (1H, d, J5', 6' = 0.38 Hz, H-6'), 7.29 (1H, s, H-2'); 13C-NMR: δ 22.4 (C-6'''), 47.8 (C-7'), 69.4 (C-6''), 69.5 (C-5'''), 69.7 (C-4''), 69.8 (C-2'''), 69.9 (C-3'''), 70.0 (C-4'''), 70.1 (C-2''), 70.9 (C-5''), 71.0 (C-3''), 94.7 (C-8), 96.8 (C-1''), 98.0 (C-6), 101.2 (C-1'''), 105.6 (C-3), 106.1 (C-10), 109.6 (C-2'), 118.76 (C-5'), 121.0 (C-6'), 131.42 (C-1'), 144.7 (C-4'), 150.8 (C-3'), 157.8 (C-9), 161.9 (C-5), 164.6 (C-2), 167.6 (C-7), 181.3 (C-4).  4. Conclusions",chysoeriol-7-O-rutinoside,N/A,"1H-NMR: δ 1.97 (3H, d, J5''', 6''' = 8.6 Hz, H-6'''), 3.09 (2H, m, H-5'', H-5'''), 3.17 (2H, m, H-2'', H-3''), 3.21 (2H, m, H-4'', H-4'''), 3.32 (3H, s, H-7'), 3.88 (2H, m, H-2''', H-3'''), 3.90 (1H, m, H-6a''), 3.93 (1H, m, H-6b''), 4.26 (1H, d, J1'', 2'' = 4.7 Hz, H-1'''), 4.85-5.11 (8H, m, OH -5, -4', -2'', -3'', -4'', -2''', -3''', -4'''), 6.79 (1H, s, H-6), 6.86 (1H, s, H-3), 7.03 (1H, s, H-8), 7.10 (1H, d, J5', 6' = 0.99, H-5'), 7.28 (1H, d, J5', 6' = 0.38 Hz, H-6'), 7.29 (1H, s, H-2')","13C-NMR: δ 22.4 (C-6'''), 47.8 (C-7'), 69.4 (C-6''), 69.5 (C-5'''), 69.7 (C-4''), 69.8 (C-2'''), 69.9 (C-3'''), 70.0 (C-4'''), 70.1 (C-2''), 70.9 (C-5''), 71.0 (C-3''), 94.7 (C-8), 96.8 (C-1''), 98.0 (C-6), 101.2 (C-1'''), 105.6 (C-3), 106.1 (C-10), 109.6 (C-2'), 118.76 (C-5'), 121.0 (C-6'), 131.42 (C-1'), 144.7 (C-4'), 150.8 (C-3'), 157.8 (C-9), 161.9 (C-5), 164.6 (C-2), 167.6 (C-7), 181.3 (C-4)",N/A,"1.97 (3H, d, J5''', 6''' = 8.6 Hz, H-6'''), 3.09 (2H, m, H-5'', H-5'''), 3.17 (2H, m, H-2'', H-3''), 3.21 (2H, m, H-4'', H-4'''), 3.32 (3H, s, H-7'), 3.88 (2H, m, H-2''', H-3'''), 3.90 (1H, m, H-6a''), 3.93 (1H, m, H-6b''), 4.26 (1H, d, J1'', 2'' = 4.7 Hz, H-1'''), 4.85-5.11 (8H, m, OH -5, -4', -2'', -3'', -4'', -2''', -3''', -4'''), 6.79 (1H, s, H-6), 6.86 (1H, s, H-3), 7.03 (1H, s, H-8), 7.10 (1H, d, J5', 6' = 0.99, H-5'), 7.28 (1H, d, J5', 6' = 0.38 Hz, H-6'), 7.29 (1H, s, H-2')",N/A,"22.4, 47.8, 69.4, 69.5, 69.7, 69.8, 69.9, 70.0, 70.1, 70.9, 71.0, 94.7, 96.8, 98.0, 101.2, 105.6, 106.1, 109.6, 118.76, 121.0, 131.42, 144.7, 150.8, 157.8, 161.9, 164.6, 167.6, 181.3",19633617.0,Molecules. 2009 Jul 9; 14(7):2466-2490,Molecules,2009.0,CC BY,2021-01-05 21:51:16,no
PMC10253445,"4.3.9. Diisopropyl 2,6-Dimethyl-4-(4-(methylsulfonamido)phenyl)-1,4-dihydropyridine-3,5-dicarboxylate (4i) Yield: 60%. 1H NMR (400 MHz, DMSOd6): δ 9.52 (s, 1H, NH), 8.72 (s, 1H, NH), 7.1 (d, J = 8.6 Hz, 2H), 7.04 (d, J = 8.6Hz, 2H), 4.82 (m,2H), 4.78 (s,1H), 2.91 (s,3H), 2.24 (s,6H), 1.21–1.15 (d, J = 6.2 Hz, 6H), 1.05 (d, J = 6.2 Hz, 6H). 13C NMR (100 MHz, DMSOd6): δ 166.94, 145.49, 144.76, 143.76, 136.44, 128.83, 120.31, 102.53, 66.51, 38.93, 22.34, 22.08, 18.69. Anal. Calcd. for C22H30N2O6S: C, 58.65; H, 6.71; N, 6.22. Found: C, 58.62; H, 6.70; N, 6.24.  4.4. Biological Evaluation","Diisopropyl 2,6-Dimethyl-4-(4-(methylsulfonamido)phenyl)-1,4-dihydropyridine-3,5-dicarboxylate",O=C(C1=C(C)NC(C)=C(C(OC(C)C)=O)C1C2=CC=C(NS(=O)(C)=O)C=C2)OC(C)C,"1H NMR (400 MHz, DMSOd6): δ 9.52 (s, 1H, NH), 8.72 (s, 1H, NH), 7.1 (d, J = 8.6 Hz, 2H), 7.04 (d, J = 8.6Hz, 2H), 4.82 (m,2H), 4.78 (s,1H), 2.91 (s,3H), 2.24 (s,6H), 1.21–1.15 (d, J = 6.2 Hz, 6H), 1.05 (d, J = 6.2 Hz, 6H)","13C NMR (100 MHz, DMSOd6): δ 166.94, 145.49, 144.76, 143.76, 136.44, 128.83, 120.31, 102.53, 66.51, 38.93, 22.34, 22.08, 18.69","400 MHz, DMSOd6","9.52 (s, 1H, NH), 8.72 (s, 1H, NH), 7.1 (d, J = 8.6 Hz, 2H), 7.04 (d, J = 8.6Hz, 2H), 4.82 (m,2H), 4.78 (s,1H), 2.91 (s,3H), 2.24 (s,6H), 1.21–1.15 (d, J = 6.2 Hz, 6H), 1.05 (d, J = 6.2 Hz, 6H)","100 MHz, DMSOd6","166.94, 145.49, 144.76, 143.76, 136.44, 128.83, 120.31, 102.53, 66.51, 38.93, 22.34, 22.08, 18.69",N/A,N/A,N/A,N/A,N/A,N/A,N/A
PMC10051454,"2.4.1. (E)-5-(((4-(Dimethylamino)phenyl)imino)methyl)-2-methoxyphenol (10) It was obtained in a 97% yield as a brown solid. M.p: 147–148 °C. Rf: 0.46 (2:3 EtOAc/Petroleum ether). 1H NMR (400 MHz, CDCl3) δ 8.41 (s, 1H), 7.54 (d, J = 2.0 Hz, 1H), 7.38 (dd, J = 8.4, 2.0 Hz, 1H), 7.31–7.24 (m, 2H), 6.91 (d, J = 8.4 Hz, 1H), 6.81–6.76 (m, 2H), 3.92 (s, 3H), 2.99 (s, 6H). 13C NMR (100 MHz, CDCl3) δ 155.85, 149.36, 148.9, 145.98, 141.24, 130.70, 122.17, 121.57, 113.82, 113.09, 110.47, 55.98, 40.85. FT-IR (cm−1): 2885 (OH), 1611(C=N), 1514 (C=C), 1438, 1349, 1278. HRMS: (ESI), m/z: [M + H]+ Calcd for C16H19N2O2 271.1368; found 271.1443.",(E)-5-(((4-(Dimethylamino)phenyl)imino)methyl)-2-methoxyphenol,OC1=CC(/C=N/C2=CC=C(N(C)C)C=C2)=CC=C1OC,"1H NMR (400 MHz, CDCl3) δ 8.41 (s, 1H), 7.54 (d, J = 2.0 Hz, 1H), 7.38 (dd, J = 8.4, 2.0 Hz, 1H), 7.31–7.24 (m, 2H), 6.91 (d, J = 8.4 Hz, 1H), 6.81–6.76 (m, 2H), 3.92 (s, 3H), 2.99 (s, 6H)","13C NMR (100 MHz, CDCl3) δ 155.85, 149.36, 148.9, 145.98, 141.24, 130.70, 122.17, 121.57, 113.82, 113.09, 110.47, 55.98, 40.85","400 MHz, CDCl3","8.41 (s, 1H), 7.54 (d, J = 2.0 Hz, 1H), 7.38 (dd, J = 8.4, 2.0 Hz, 1H), 7.31–7.24 (m, 2H), 6.91 (d, J = 8.4 Hz, 1H), 6.81–6.76 (m, 2H), 3.92 (s, 3H), 2.99 (s, 6H)","100 MHz, CDCl3","155.85, 149.36, 148.9, 145.98, 141.24, 130.70, 122.17, 121.57, 113.82, 113.09, 110.47, 55.98, 40.85",N/A,N/A,N/A,N/A,N/A,N/A,N/A
PMC9748899,"The NMR spectra (Supplementary Figs. 40–45) of 7 were similar to those of 5. The DEPT-135 (Supplementary Fig. 42) and 1H NMR spectra (Supplementary Fig. 40) of 7 indicated that it had nine methylene groups, one less than the number of methylene groups in GA-HLDOA. Meanwhile, a carbon with δC 145.04 appeared in the 13C NMR spectrum (Supplementary Fig. 41), suggesting that a methylene group of GA-HLDOA was transformed to a ketone group. The HMBC (Supplementary Fig. 45) between the carbon (δC 145.04) and H-6 (2.50 m, 2.56 m, 2H) indicated that the C-7 was a ketone group. The chemical structure of 7 was identified as 7-oxo-15-hydroxy-GA-HLDOA, which was consistent with 7-oxo-GA-Z3 as previously reported12. The 13C-NMR and 1H-NMR data for all of the identified compounds were shown in Supplementary Data 5.",7-oxo-15-hydroxy-GA-HLDOA,N/A,N/A," Meanwhile, a carbon with δC 145.04 appeared in the 13C NMR spectrum (Supplementary Fig. 41), suggesting that a methylene group of GA-HLDOA was transformed to a ketone group",N/A,N/A,N/A,145.04,36517496.0,Nat Commun. 2022 Dec 14; 13:7740,Nat Commun,2022.0,CC BY,2022-12-15 23:22:48,no
PMC6171423,"5-Bromo-2-hydroxy-3-iodoacetophenone (5) A stirred solution of 5-bromo-2-hydroxyacetophenone (3.23 g, 15.0 mmol) and N-iodosuccinimide (5.78 g, 18.0 mmol) in acetic acid (400 ml) was refluxed for 2 h and then quenched with an ice-cold water. The resulting precipitate was filtered and recrystallized from EtOH to afford 5 as a brown solid (4.78 g, 93%), mp. 111–112 °C (Lit19. 104–105 °C); νmax (ATR) 441, 539, 670, 779, 862, 968, 1077, 1190, 1233, 1362, 1420, 1581, 1650, 3259 cm−1; 1H NMR (CDCl3) 2.65 (3H, s, CH3), 7.83 (1H, d, J = 2.1 Hz, H-4), 8.04 (1H, d, J = 2.1 Hz, H-6), 13.07 (1H, s, OH); 13C NMR (CDCl3) 26.4, 87.6, 111.1, 120.2, 133.1, 147.1, 160.2, 203.2; HRMS (ES): MH+, found. C8H7O279BrI+ requires: 341.8575.",5-Bromo-2-hydroxy-3-iodoacetophenone,N/A,"1H NMR (CDCl3) 2.65 (3H, s, CH3), 7.83 (1H, d, J = 2.1 Hz, H-4), 8.04 (1H, d, J = 2.1 Hz, H-6), 13.07 (1H, s, OH)","13C NMR (CDCl3) 26.4, 87.6, 111.1, 120.2, 133.1, 147.1, 160.2, 203.2",CDCl3,"2.65 (3H, s, CH3), 7.83 (1H, d, J = 2.1 Hz, H-4), 8.04 (1H, d, J = 2.1 Hz, H-6), 13.07 (1H, s, OH)",CDCl3,"26.4, 87.6, 111.1, 120.2, 133.1, 147.1, 160.2, 203.2",30274538.0,J Enzyme Inhib Med Chem. 2018 Oct 2; 33(1):1516158-1528,J Enzyme Inhib Med Chem,2018.0,CC BY,2021-01-05 21:07:04,no
PMC6270052,"(S)-1-(3-Chlorophenyl)-3-phenylprop-2-yn-1-ol (9l). 93% yield. [α]D20 = −8.6 (c = 1.54, CHCl3). 1H-NMR (CDCl3): δ 7.56 (t, J = 0.5 Hz, 1H), 7.44–7.41 (m, 3H), 7.29–7.24 (m, 5H), 5.60 (s, 1H), 3.10 (s, 1H). 13C-NMR (CDCl3): δ 142.4, 134.3, 131.7, 129.8, 128.7, 128.4, 128.2, 126.8, 124.7, 122.0, 88.0, 86.9, 64.2. HRMS (TOF) calcd. for C15H11ClNaO [M+Na]+: 265.0396; found: 265.0393. 93% ee (80:20 n-hexane-2-propanol, 1.0 mL/min, 254 nm). Retention time: tminor = 6.05 min, tmajor = 13.35 min.",(S)-1-(3-Chlorophenyl)-3-phenylprop-2-yn-1-ol,O[C@@H](C1=CC=CC(Cl)=C1)C#CC2=CC=CC=C2,"1H-NMR (CDCl3): δ 7.56 (t, J = 0.5 Hz, 1H), 7.44–7.41 (m, 3H), 7.29–7.24 (m, 5H), 5.60 (s, 1H), 3.10 (s, 1H)","13C-NMR (CDCl3): δ 142.4, 134.3, 131.7, 129.8, 128.7, 128.4, 128.2, 126.8, 124.7, 122.0, 88.0, 86.9, 64.2",CDCl3,"7.56 (t, J = 0.5 Hz, 1H), 7.44–7.41 (m, 3H), 7.29–7.24 (m, 5H), 5.60 (s, 1H), 3.10 (s, 1H)",CDCl3,"142.4, 134.3, 131.7, 129.8, 128.7, 128.4, 128.2, 126.8, 124.7, 122.0, 88.0, 86.9, 64.2",24335619.0,Molecules. 2013 Dec 11; 18(12):15422-15433,Molecules,2013.0,CC BY,2021-01-05 22:00:55,no
PMC6264357,"Ethyl 3-(7-(1-(cyclohexylcarbamoyl)propyl)-6,7-dihydro-4-methyl-2-phenyl-5H-pyrrolo[2,3-d]-pyrimidin-5-yl)propanoate (2d). Pale yellow liquid, (265 mg, 55%), 1H-NMR: δ (ppm) 8.40–8.30 (m, 2H), 7.54–7.38 (m, 3H), 6.52 (br s, 1H), 4.63–4.45 (m, 1H), 4.09 (q, 2H, J = 7.0 Hz), 3.80–3.60 (m, 2H), 3.50–3.25 (m, 2H), 2.40 (s, 3H), 2.37–2.24 (m, 2H), 2.18–1.96 (m, 2H), 1.94–1.70 (m, 4H), 1.63–1.38 (m, 3H), 1.34–1.14 (m, 6H), 1.05–0.80 (m, 5H); 13C-NMR: δ (ppm) 172.8, 169.3, 166.6, 163.0, 157.9, 138.2, 130.0, 128.2, 127.7, 117.5, 60.6, 58.2, 50.7, 47.9, 35.2, 32.8, 32.7, 30.4, 28.8, 25.3, 24.4, 24.2, 21.0, 20.9, 14.2, 10.8; IR (thin film): 2972, 2929, 2850, 1731, 1662, 1605, 1562, 1531, 1452, 1377, 1312, 1246, 1163 cm−1, HRMS: Calcd. for C28H38N4O3: 478.2944, Found: 478.2950.","Ethyl 3-(7-(1-(cyclohexylcarbamoyl)propyl)-6,7-dihydro-4-methyl-2-phenyl-5H-pyrrolo[2,3-d]-pyrimidin-5-yl)propanoate",O=C(OCC)CCC1CN(C(C(NC2CCCCC2)=O)CC)C3=NC(C4=CC=CC=C4)=NC(C)=C31,"1H-NMR: δ (ppm) 8.40–8.30 (m, 2H), 7.54–7.38 (m, 3H), 6.52 (br s, 1H), 4.63–4.45 (m, 1H), 4.09 (q, 2H, J = 7.0 Hz), 3.80–3.60 (m, 2H), 3.50–3.25 (m, 2H), 2.40 (s, 3H), 2.37–2.24 (m, 2H), 2.18–1.96 (m, 2H), 1.94–1.70 (m, 4H), 1.63–1.38 (m, 3H), 1.34–1.14 (m, 6H), 1.05–0.80 (m, 5H)","13C-NMR: δ (ppm) 172.8, 169.3, 166.6, 163.0, 157.9, 138.2, 130.0, 128.2, 127.7, 117.5, 60.6, 58.2, 50.7, 47.9, 35.2, 32.8, 32.7, 30.4, 28.8, 25.3, 24.4, 24.2, 21.0, 20.9, 14.2, 10.8",N/A,"8.40–8.30 (m, 2H), 7.54–7.38 (m, 3H), 6.52 (br s, 1H), 4.63–4.45 (m, 1H), 4.09 (q, 2H, J = 7.0 Hz), 3.80–3.60 (m, 2H), 3.50–3.25 (m, 2H), 2.40 (s, 3H), 2.37–2.24 (m, 2H), 2.18–1.96 (m, 2H), 1.94–1.70 (m, 4H), 1.63–1.38 (m, 3H), 1.34–1.14 (m, 6H), 1.05–0.80 (m, 5H)",N/A,"172.8, 169.3, 166.6, 163.0, 157.9, 138.2, 130.0, 128.2, 127.7, 117.5, 60.6, 58.2, 50.7, 47.9, 35.2, 32.8, 32.7, 30.4, 28.8, 25.3, 24.4, 24.2, 21.0, 20.9, 14.2, 10.8",N/A,N/A,N/A,N/A,N/A,N/A,N/A
PMC8198214,"To a solution of 2-((S)-5-bromo-2′,4′-dioxo-2,3-dihydrospiro[indene-1,5′-oxazolidin]-3′-yl)-N-((2,2-difluorobenzo[d][1,3]dioxol-5-yl)methyl)-N-((S)-1,1,1-trifluoropropan-2-yl)acetamide (85, 0.26 g, 0.43 mmol), 1-methyl-4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-1H-pyrazole (0.099 g, 0.48 mmol) and Pd(dppf)Cl2 (0.031 g, 0.043 mmol) in 1,4-dioxane (5 mL) was added a saturated solution of sodium bicarbonate (0.5 mL) under nitrogen. The mixture was stirred in 85 °C until completion, cooled to room temperature, concentrated, and purified directly by silica gel column chromatography to afford B1 (0.068 g, 26%). 1H-NMR (CDCl3) δ 7.75 (s, 1H), 7.61 (s, 1H), 7.51 − 7.43 (m, 1H), 7.43 − 7.37 (m, 2H), 7.14 − 7.08 (m, 1H), 7.06 (s, 1H), 6.97 − 6.90 (m, 1H), 5.63 − 5.40 (m, 1H), 4.74 − 4.62 (m, 2H), 4.47 − 4.39 (m, 1H), 4.26 − 4.20 (m, 1H), 3.94 (s, 3H), 3.31 − 3.20 (m, 1H), 3.19 − 3.08 (m, 1H), 2.85 − 2.74 (m, 1H), 2.63 − 2.50 (m, 1H), 1.32 (s, 3H). 13C-NMR (CDCl3) δ 174.26, 174.10, 166.87, 154.37, 146.02, 144.60, 143.44, 136.96, 135.61, 134.90, 131.99, 131.67, 127.35, 125.29, 124.85, 123.72 (q, J = 214 Hz), 121.84, 120.66, 110.18, 107.13, 94.82, 50.61, 46.21, 41.66, 39.18, 35.40, 30.27, 11.59. HPLC: retention time 13.762 min, 96.37% purity. HRMS (ESI): m/z calcd for C28H23F5N4O6, 607.1611, found 607.1627 [M + H]+.",B1,N/A,"1H-NMR (CDCl3) δ 7.75 (s, 1H), 7.61 (s, 1H), 7.51 − 7.43 (m, 1H), 7.43 − 7.37 (m, 2H), 7.14 − 7.08 (m, 1H), 7.06 (s, 1H), 6.97 − 6.90 (m, 1H), 5.63 − 5.40 (m, 1H), 4.74 − 4.62 (m, 2H), 4.47 − 4.39 (m, 1H), 4.26 − 4.20 (m, 1H), 3.94 (s, 3H), 3.31 − 3.20 (m, 1H), 3.19 − 3.08 (m, 1H), 2.85 − 2.74 (m, 1H), 2.63 − 2.50 (m, 1H), 1.32 (s, 3H)","13C-NMR (CDCl3) δ 174.26, 174.10, 166.87, 154.37, 146.02, 144.60, 143.44, 136.96, 135.61, 134.90, 131.99, 131.67, 127.35, 125.29, 124.85, 123.72 (q, J = 214 Hz), 121.84, 120.66, 110.18, 107.13, 94.82, 50.61, 46.21, 41.66, 39.18, 35.40, 30.27, 11.59",CDCl3,"7.75 (s, 1H), 7.61 (s, 1H), 7.51 − 7.43 (m, 1H), 7.43 − 7.37 (m, 2H), 7.14 − 7.08 (m, 1H), 7.06 (s, 1H), 6.97 − 6.90 (m, 1H), 5.63 − 5.40 (m, 1H), 4.74 − 4.62 (m, 2H), 4.47 − 4.39 (m, 1H), 4.26 − 4.20 (m, 1H), 3.94 (s, 3H), 3.31 − 3.20 (m, 1H), 3.19 − 3.08 (m, 1H), 2.85 − 2.74 (m, 1H), 2.63 − 2.50 (m, 1H), 1.32 (s, 3H)",CDCl3,"174.26, 174.10, 166.87, 154.37, 146.02, 144.60, 143.44, 136.96, 135.61, 134.90, 131.99, 131.67, 127.35, 125.29, 124.85, 123.72, 121.84, 120.66, 110.18, 107.13, 94.82, 50.61, 46.21, 41.66, 39.18, 35.40, 30.27, 11.59",34070610.0,Molecules. 2021 May 25; 26(11):3162,Molecules,2021.0,CC BY,2021-09-02 23:44:21,no
