PMC accession number (PMCID),Paragraph,IUPAC name,SMILES,1H NMR text,13C NMR text,1H NMR conditions,1H NMR chemical shifts,13C NMR conditions,13C NMR chemical shifts,PMID,Article Citation,Journal Name,Article publication time,License,LastUpdated (YYYY-MM-DD HH:MM:SS),Retracted
PMC7036849,"N-Hydroxy-8-((7-((2-fluorobenzyl)oxy)-2-oxo-2H-chromen-4-yl)oxy)octanoic acid (14e). Yield: 28%. 1H-NMR (600 MHz, DMSO-d6) δ 10.33 (brs, 1H), 8.65 (brs, 1H), 7.71 (d, J = 8.4 Hz, 1H), 7.60–7.58 (dd, J = 7.8 Hz, 7.8 Hz, 1H), 7.47–7.44 (m, 1H), 7.29–7.24 (m, 2H), 7.12–7.02 (m, 2H), 5.74 (s, 1H), 5.25 (s, 2H), 4.18 (t, J = 6.0 Hz, 2H), 1.94 (t, J = 7.2 Hz, 2H), 1.82–1.77 (m, 2H), 1.52–1.42 (m, 4H), 1.36–1.23 (m, 4H). 13C-NMR (150 MHz, DMSO-d6) δ 169.13, 165.38, 162.11, 161.71, 154.56, 131.05, 130.86, 124.64, 124.05, 123.08, 115.59, 115.46, 112.70, 18.76, 101.43, 88.07, 69.33, 64.32, 32.25, 28.48, 28.36, 27.94, 25.31, 25.06. HRMS (ESI) calcd for C24H26FNO6 [M + H]+ 444.1817; found 444.1815. HPLC purity: 96.93%, tR = 8.151 min.",N-Hydroxy-8-((7-((2-fluorobenzyl)oxy)-2-oxo-2H-chromen-4-yl)oxy)octanoic acid,N/A,"1H-NMR (600 MHz, DMSO-d6) δ 10.33 (brs, 1H), 8.65 (brs, 1H), 7.71 (d, J = 8.4 Hz, 1H), 7.60–7.58 (dd, J = 7.8 Hz, 7.8 Hz, 1H), 7.47–7.44 (m, 1H), 7.29–7.24 (m, 2H), 7.12–7.02 (m, 2H), 5.74 (s, 1H), 5.25 (s, 2H), 4.18 (t, J = 6.0 Hz, 2H), 1.94 (t, J = 7.2 Hz, 2H), 1.82–1.77 (m, 2H), 1.52–1.42 (m, 4H), 1.36–1.23 (m, 4H)","13C-NMR (150 MHz, DMSO-d6) δ 169.13, 165.38, 162.11, 161.71, 154.56, 131.05, 130.86, 124.64, 124.05, 123.08, 115.59, 115.46, 112.70, 18.76, 101.43, 88.07, 69.33, 64.32, 32.25, 28.48, 28.36, 27.94, 25.31, 25.06","600 MHz, DMSO-d6","10.33 (brs, 1H), 8.65 (brs, 1H), 7.71 (d, J = 8.4 Hz, 1H), 7.60–7.58 (dd, J = 7.8 Hz, 7.8 Hz, 1H), 7.47–7.44 (m, 1H), 7.29–7.24 (m, 2H), 7.12–7.02 (m, 2H), 5.74 (s, 1H), 5.25 (s, 2H), 4.18 (t, J = 6.0 Hz, 2H), 1.94 (t, J = 7.2 Hz, 2H), 1.82–1.77 (m, 2H), 1.52–1.42 (m, 4H), 1.36–1.23 (m, 4H)","150 MHz, DMSO-d6","169.13, 165.38, 162.11, 161.71, 154.56, 131.05, 130.86, 124.64, 124.05, 123.08, 115.59, 115.46, 112.70, 18.76, 101.43, 88.07, 69.33, 64.32, 32.25, 28.48, 28.36, 27.94, 25.31, 25.06",32046013.0,Molecules. 2020 Feb 7; 25(3):717,Molecules,2020.0,CC BY,2021-01-06 06:24:43,no
PMC8146418,"Additional known compounds isolated from A absintium have been the monoterpene (-)-(3S, 5Z)-2,6-dimethylocta-5,7-dien-2,3-diol [2,3,26], the sesquiterpene lactones 3α-hydroxypelenolide (3) [4,5,6], ketopelenolide A (4) [4], ketopelenolide B (5) [4,27], and dihydrocostunolide (6) [27], the diterpene dehydroabietic acid [28], the triterpenes 24-methylencycloartanol and its acetate [29], lagerenol and its acetate [30], and cycloart-23(Z)-en-3β,25-diol [31], the acetophenone espeletone (11) [21], a benzofurane derivative (19) [22,32] and the flavones artemetine [33,34] and casticine [35]. We have now assigned the 1H and 13C NMR spectra of espeletone (11) (Figures S11 and S12) and of the benzofuran derivative 19 (Figures S15 and S16) using 2D NMR data (Table 1).",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33925212.0,Plants (Basel). 2021 Apr 28; 10(5):891,Plants (Basel),2021.0,CC BY,2021-06-11 23:16:40,no
PMC6152361,"1,2-Diazaspiro[2.5]oct-1-ene-6-carboxylic acid (2d): Pale yellow solid, 1H-NMR (270 MHz, CDCl3) δ ppm: 2.47–2.57 (m, 1H), 2.02–2.11 (m, 2H), 1.82–1.92 (m, 2H), 1.61–1.73 (m, 2H), 0.87 (dt, J = 14.1, 3.6 Hz, 2H); 13C-NMR (68 MHz, CDCl3) 181.6, 41.2, 29.8, 27.3, 26.4; HRMS (ESI) m/z [M + H]+ calcd. for C7H11N2O2 155.0821, found 155.0809.","1,2-Diazaspiro[2.5]oct-1-ene-6-carboxylic acid",O=C(C(CC1)CCC21N=N2)O,"1H-NMR (270 MHz, CDCl3) δ ppm: 2.47–2.57 (m, 1H), 2.02–2.11 (m, 2H), 1.82–1.92 (m, 2H), 1.61–1.73 (m, 2H), 0.87 (dt, J = 14.1, 3.6 Hz, 2H)","13C-NMR (68 MHz, CDCl3) 181.6, 41.2, 29.8, 27.3, 26.4","270 MHz, CDCl3","2.47–2.57 (m, 1H), 2.02–2.11 (m, 2H), 1.82–1.92 (m, 2H), 1.61–1.73 (m, 2H), 0.87 (dt, J = 14.1, 3.6 Hz, 2H)","68 MHz, CDCl3","181.6, 41.2, 29.8, 27.3, 26.4",28829361.0,Molecules. 2017 Aug 22; 22(8):1389,Molecules,2017.0,CC BY,2021-01-05 20:55:12,no
PMC4017646,"Diethyl 3,5-dimethoxybenzylphosphonate S1 Triethylphosphite (750 μl, 4.3 mmol) and 3,5-dimethoxybenzaldehyde (0.981 g, 4.3 mmol) were sealed together in a pressure vial. The reaction was stirred while heating to 160°C for 4 hr. After being cooled to room temperature, it was concentrated under reduced pressure to yield 1.270 g (99% yield) of a clear oil S1. 1H NMR (499 MHz, CDCl3) δ 6.44 (t, J = 2.4 Hz, 2H), 6.37–6.27 (m, 1H), 4.10–3.94 (m, 4H), 3.76 (d, J = 2.2 Hz, 6H), 3.07 (d, J = 21.7 Hz, 2H), 1.29–1.16 (m, 6H). 13C NMR (126 MHz, CDCl3) δ 160.6, 133.6, 107.7, 99.0, 62.0, 55.2, 34.4, 16.3. HRMS (ESI+) m/z calculated for C13H32O5P+289.1205, found 289.1197. See Figure 9.10.7554/eLife.02057.034Figure 9. Diethyl 3,5-dimethoxybenzylphosphonate S1. DOI: http://dx.doi.org/10.7554/eLife.02057.034","Diethyl 3,5-dimethoxybenzylphosphonate",O=P(CC1=CC(OC)=CC(OC)=C1)(OCC)OCC,"1H NMR (499 MHz, CDCl3) δ 6.44 (t, J = 2.4 Hz, 2H), 6.37–6.27 (m, 1H), 4.10–3.94 (m, 4H), 3.76 (d, J = 2.2 Hz, 6H), 3.07 (d, J = 21.7 Hz, 2H), 1.29–1.16 (m, 6H)","13C NMR (126 MHz, CDCl3) δ 160.6, 133.6, 107.7, 99.0, 62.0, 55.2, 34.4, 16.3","499 MHz, CDCl3","6.44 (t, J = 2.4 Hz, 2H), 6.37–6.27 (m, 1H), 4.10–3.94 (m, 4H), 3.76 (d, J = 2.2 Hz, 6H), 3.07 (d, J = 21.7 Hz, 2H), 1.29–1.16 (m, 6H)","126 MHz, CDCl3","160.6, 133.6, 107.7, 99.0, 62.0, 55.2, 34.4, 16.3",24771768.0,eLife. 2014 Apr 25; 3:e02057,eLife,2014.0,CC BY,2021-01-05 00:26:32,no
PMC6273369,"3,5-Dichloro-2,2′-dihydroxychalcone (8). Yellow powder, mp 125–126 °C. 1H-NMR (400 MHz, DMSO-d6): δ 12.48 (s, 1H, OH), 10.43 (s, 1H, OH), 8.26 (d, J = 7.8 Hz, 1H, H-6′), 8.12 (d, J = 15.5 Hz, 1H, Hβ), 8.06 (d, J = 15.5 Hz, 1H, Hα), 7.57 (m, 1H, H-4′), 7.55 (d, J = 2.3 Hz, 1H, H-4), 7.53 (d, J = 2.3 Hz, 1H, H-6), 7.00 (m, 1H, H-3′), 6.98 (m, 1H, H-5′); 13C-NMR (100 MHz, DMSO-d6): δ 193.99, 162.45, 151.89, 138.05, 136.93, 131.43, 131.38, 126.80, 126.19, 124.59, 123.82, 123.59, 121.11, 119.60, 118.20; HREIMS m/z 309.0085 [M + H]+ (calculated for C15H11O3Cl2, 309.0080).","3,5-Dichloro-2,2′-dihydroxychalcone",N/A,"1H-NMR (400 MHz, DMSO-d6): δ 12.48 (s, 1H, OH), 10.43 (s, 1H, OH), 8.26 (d, J = 7.8 Hz, 1H, H-6′), 8.12 (d, J = 15.5 Hz, 1H, Hβ), 8.06 (d, J = 15.5 Hz, 1H, Hα), 7.57 (m, 1H, H-4′), 7.55 (d, J = 2.3 Hz, 1H, H-4), 7.53 (d, J = 2.3 Hz, 1H, H-6), 7.00 (m, 1H, H-3′), 6.98 (m, 1H, H-5′)","13C-NMR (100 MHz, DMSO-d6): δ 193.99, 162.45, 151.89, 138.05, 136.93, 131.43, 131.38, 126.80, 126.19, 124.59, 123.82, 123.59, 121.11, 119.60, 118.20","400 MHz, DMSO-d6","12.48 (s, 1H, OH), 10.43 (s, 1H, OH), 8.26 (d, J = 7.8 Hz, 1H, H-6′), 8.12 (d, J = 15.5 Hz, 1H, Hβ), 8.06 (d, J = 15.5 Hz, 1H, Hα), 7.57 (m, 1H, H-4′), 7.55 (d, J = 2.3 Hz, 1H, H-4), 7.53 (d, J = 2.3 Hz, 1H, H-6), 7.00 (m, 1H, H-3′), 6.98 (m, 1H, H-5′)","100 MHz, DMSO-d6","193.99, 162.45, 151.89, 138.05, 136.93, 131.43, 131.38, 126.80, 126.19, 124.59, 123.82, 123.59, 121.11, 119.60, 118.20",27455222.0,Molecules. 2016 Jul 22; 21(7):955,Molecules,2016.0,CC BY,2021-01-05 22:03:52,no
PMC5512964,"5,12-di(2-decyltetradecyl)-2,9-bis(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)quinolino[2,3-b]acridine-7,14(5H,12H)-dione (2). 1 (500 mg, 0.44 mmol), dichlorobis(triphenylphosphine)dipalladium(II) (15 mg, 0.02 mmol), potassium acetate (259 mg, 2.64 mmol) was added to 25 mL of dioxane in a 100 mL 3-neck flask and purged with N2 for 30 min. After stirring the mixture for 1 h, bis(pinacolato)diboron (267 mg, 1.06 mmol) was added, which was then refluxed for 15 h. After cooling to room temperature, water was added and the aqueous layer was extracted with dichloromethane. The organic layer was washed with water then with brine, and then dried over anhydrous MgSO4. After removing the solvent by vacuum evaporation, the residue was purified by preparative GPC (chloroform), which gave 2 as an orange solid (351 mg, 64% yield). 1H NMR (400 MHz, CDCl3): δ 9.08 (s, 2H), 8.87 (d, 2H),8.10 (dd, 2H, J = 8.8 Hz), 7.55 (dd, 2H, J = 8.7Hz), 4.53 (m, 4H), 2.25 (m, 2H), 1.38 (s, 24H), 1.50–1.20 (m, 80H), 0.90–0.84 (m, 12H).13C NMR (400 MHz, CDCl3): δ 178.3, 145.0, 140.0, 136.8, 136.5, 126.9, 121.0, 115.0, 114.9, 84.2, 50.1, 37.1, 32.3, 32.3, 32.1, 30.3, 30.0, 30.0, 29.9, 29.9, 29.8, 29.7, 29.7, 27.0, 23.0, 23.0, 14.5. HR-MS: Calcd for C80H130B2N2O6, [M + H]+: 1238.01878. Found: 1238.02075.","5,12-di(2-decyltetradecyl)-2,9-bis(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)quinolino[2,3-b]acridine-7,14(5H,12H)-dione",O=C(C(C=C1N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C2=C3C=C(B4OC(C)(C)C(C)(C)O4)C=C2)=C5C=C1C3=O)C6=C(N5CC(CCCCCCCCCC)CCCCCCCCCCCC)C=CC(B7OC(C)(C)C(C)(C)O7)=C6,"1H NMR (400 MHz, CDCl3): δ 9.08 (s, 2H), 8.87 (d, 2H),8.10 (dd, 2H, J = 8.8 Hz), 7.55 (dd, 2H, J = 8.7Hz), 4.53 (m, 4H), 2.25 (m, 2H), 1.38 (s, 24H), 1.50–1.20 (m, 80H), 0.90–0.84 (m, 12H)","13C NMR (400 MHz, CDCl3): δ 178.3, 145.0, 140.0, 136.8, 136.5, 126.9, 121.0, 115.0, 114.9, 84.2, 50.1, 37.1, 32.3, 32.3, 32.1, 30.3, 30.0, 30.0, 29.9, 29.9, 29.8, 29.7, 29.7, 27.0, 23.0, 23.0, 14.5","400 MHz, CDCl3","9.08 (s, 2H), 8.87 (d, 2H),8.10 (dd, 2H, J = 8.8 Hz), 7.55 (dd, 2H, J = 8.7Hz), 4.53 (m, 4H), 2.25 (m, 2H), 1.38 (s, 24H), 1.50–1.20 (m, 80H), 0.90–0.84 (m, 12H)","400 MHz, CDCl3","178.3, 145.0, 140.0, 136.8, 136.5, 126.9, 121.0, 115.0, 114.9, 84.2, 50.1, 37.1, 32.3, 32.3, 32.1, 30.3, 30.0, 30.0, 29.9, 29.9, 29.8, 29.7, 29.7, 27.0, 23.0, 23.0, 14.5",28809357.0,Materials (Basel). 2013 Mar 18; 6(3):1061-1071,Materials (Basel),2013.0,CC BY,2021-01-05 12:07:30,no
PMC8773117,"2.2.3. ((2S,3R,4R)-4-(3,4-Dimethoxybenzyl)-2-(3,4-dimethoxyphenyl)tetrahydrofuran-3-yl)methylbutyrate (8) Analogous to 3, using starting material 18 (35.0 mg, 0.090 mmol, 1.00 equiv.), butyric acid (18.2 mg, 0.207 mmol, 2.3 equiv.), EDCI.HCl (34.5 mg, 0.180 mmol, 2.0 equiv.), 4-DMAP (1.1 mg, 9.0 µmol, 0.1 equiv.) and DIPEA (39 µL, 0.23 mmol, 2.5 equiv.). The reaction solution was used directly for flash column chromatography (9 g silica, flow rate 20 mL/min, EtOAc/LP, 10:90 to 22:78 in 9 min, then 22:78 isocratically for 6 min, then to 62:38 in 30 min) to afford the title compound 8 with an overall yield of 85% as a colorless oil. [α]D20: +20.3 (c 1.77, MeOH). LC-HRMS (ESI): calculated for M + Na+: 481.2197, found: 481.2207, Δ: 2.08 ppm. (log P)calc:4.75 ± 0.44. GC-MS (EI, 70 eV, Method D): 20.50 min; 458.2 (M+, 6), 219.1 (21), 165.1 (52), 152.1 (15), 151.1 (100). 1H NMR (200 MHz, CDCl3): δ 0.94 (t, 3J = 7.4 Hz, 3H), 1.64 (sext, 3J = 7.4 Hz, 2H), 2.26 (t, 3J = 7.4 Hz, 2H), 2.47–2.93 (m, 4H), 3.75 (dd, 2J = 8.6 Hz, 3J = 6.2 Hz, 1H), 3.86 (s, 3H), 3.87 (s, 6H), 3.89 (s, 3H), 4.07 (dd, 2J = 8.6 Hz, 3J = 6.3 Hz, 1H), 4.19 (dd, 2J = 11.2 Hz, 3J = 7.1 Hz, 1H), 4.38 (dd, 2J = 11.2 Hz, 3J = 6.9 Hz, 1H), 4.79 (d, 3J = 6.4 Hz, 1H), 6.64–6.92 (m, 6H). 13C NMR (50 MHz, CDCl3): δ 13.8 (q), 18.5 (t), 33.3 (t), 36.3 (t), 42.6 (d), 49.1 (d), 56.0 (q), 62.5 (t), 72.8 (t), 83.0 (d), 109.0 (d), 111.1 (d), 111.4 (d), 112.0 (d), 118.2 (d), 120.5 (d), 132.7 (s), 135.0 (s), 147.6 (s), 148.6 (s), 149.0 (s), 149.1 (s), 173.6 (s).","((2S,3R,4R)-4-(3,4-Dimethoxybenzyl)-2-(3,4-dimethoxyphenyl)tetrahydrofuran-3-yl)methylbutyrate",CCC(C)([C@@H]1[C@@H](C2=CC=C(OC)C(OC)=C2)OC[C@@H]1CC3=CC=C(OC)C(OC)=C3)C([O-])=O,"1H NMR (200 MHz, CDCl3): δ 0.94 (t, 3J = 7.4 Hz, 3H), 1.64 (sext, 3J = 7.4 Hz, 2H), 2.26 (t, 3J = 7.4 Hz, 2H), 2.47–2.93 (m, 4H), 3.75 (dd, 2J = 8.6 Hz, 3J = 6.2 Hz, 1H), 3.86 (s, 3H), 3.87 (s, 6H), 3.89 (s, 3H), 4.07 (dd, 2J = 8.6 Hz, 3J = 6.3 Hz, 1H), 4.19 (dd, 2J = 11.2 Hz, 3J = 7.1 Hz, 1H), 4.38 (dd, 2J = 11.2 Hz, 3J = 6.9 Hz, 1H), 4.79 (d, 3J = 6.4 Hz, 1H), 6.64–6.92 (m, 6H)","13C NMR (50 MHz, CDCl3): δ 13.8 (q), 18.5 (t), 33.3 (t), 36.3 (t), 42.6 (d), 49.1 (d), 56.0 (q), 62.5 (t), 72.8 (t), 83.0 (d), 109.0 (d), 111.1 (d), 111.4 (d), 112.0 (d), 118.2 (d), 120.5 (d), 132.7 (s), 135.0 (s), 147.6 (s), 148.6 (s), 149.0 (s), 149.1 (s), 173.6 (s)","200 MHz, CDCl3","0.94 (t, 3J = 7.4 Hz, 3H), 1.64 (sext, 3J = 7.4 Hz, 2H), 2.26 (t, 3J = 7.4 Hz, 2H), 2.47–2.93 (m, 4H), 3.75 (dd, 2J = 8.6 Hz, 3J = 6.2 Hz, 1H), 3.86 (s, 3H), 3.87 (s, 6H), 3.89 (s, 3H), 4.07 (dd, 2J = 8.6 Hz, 3J = 6.3 Hz, 1H), 4.19 (dd, 2J = 11.2 Hz, 3J = 7.1 Hz, 1H), 4.38 (dd, 2J = 11.2 Hz, 3J = 6.9 Hz, 1H), 4.79 (d, 3J = 6.4 Hz, 1H), 6.64–6.92 (m, 6H)","50 MHz, CDCl3","13.8, 18.5, 33.3, 36.3, 42.6, 49.1, 56.0, 62.5, 72.8, 83.0, 109.0, 111.1, 111.4, 112.0, 118.2, 120.5, 132.7, 135.0, 147.6, 148.6, 149.0, 149.1, 173.6",35052742.0,Biomedicines. 2021 Dec 28; 10(1):62,Biomedicines,2021.0,CC BY,2022-01-24 23:18:50,no
PMC9736855,"tert-butyl 4-((5-chloro-4-((3-cyclopropyl-1H-pyrazol-5-yl)amino)pyrimidin-2-yl)amino)phenethylcarbamate (13a). The title compound was prepared according to the general procedure 3, using 7 and tert-butyl 4-aminophenethylcarbamate. The mixture was stirred for 18 h under reflux to obtain the product (20 mg, 16%) as a yellow oil. 1H NMR (300 MHz, DMSO-d6) δ 12.25 (s, 1H), 9.31 (s, 1H), 8.58 (s, 1H), 8.09 (s, 1H), 7.54 (d, J = 8.4 Hz, 2H), 7.07 (d, J = 8.1 Hz, 2H), 6.85 (t, J = 5.6 Hz, 1H), 6.16 (s, 1H), 3.11 (q, J = 6.9 Hz, 2H), 2.63 (t, J = 7.6 Hz, 2H), 2.00–1.80 (m, 1H), 1.37 (s, 9H), 0.98–0.86 (m, 2H), 0.74–0.62 (m, 2H). 13C NMR (75 MHz, DMSO) δ 157.86, 155.52, 155.10, 154.26, 138.41, 132.39, 128.52, 119.32, 103.36, 77.46, 41.73, 34.99, 28.26, 7.73. MS-ESI m/z [M + H]+: calcd 471.0, found 470.4. HRMS m/z [M + H]+: calcd 470.2066, found 470.2061. HPLC: tR = 8.70, purity ≥ 95% (UV: 254/280 nm).",tert-butyl 4-((5-chloro-4-((3-cyclopropyl-1H-pyrazol-5-yl)amino)pyrimidin-2-yl)amino)phenethylcarbamate,O=C(OC(C)(C)C)NCCC1=CC=C(NC2=NC=C(Cl)C(NC3=CC(C4CC4)=NN3)=N2)C=C1,"1H NMR (300 MHz, DMSO-d6) δ 12.25 (s, 1H), 9.31 (s, 1H), 8.58 (s, 1H), 8.09 (s, 1H), 7.54 (d, J = 8.4 Hz, 2H), 7.07 (d, J = 8.1 Hz, 2H), 6.85 (t, J = 5.6 Hz, 1H), 6.16 (s, 1H), 3.11 (q, J = 6.9 Hz, 2H), 2.63 (t, J = 7.6 Hz, 2H), 2.00–1.80 (m, 1H), 1.37 (s, 9H), 0.98–0.86 (m, 2H), 0.74–0.62 (m, 2H)","13C NMR (75 MHz, DMSO) δ 157.86, 155.52, 155.10, 154.26, 138.41, 132.39, 128.52, 119.32, 103.36, 77.46, 41.73, 34.99, 28.26, 7.73","300 MHz, DMSO-d6","12.25 (s, 1H), 9.31 (s, 1H), 8.58 (s, 1H), 8.09 (s, 1H), 7.54 (d, J = 8.4 Hz, 2H), 7.07 (d, J = 8.1 Hz, 2H), 6.85 (t, J = 5.6 Hz, 1H), 6.16 (s, 1H), 3.11 (q, J = 6.9 Hz, 2H), 2.63 (t, J = 7.6 Hz, 2H), 2.00–1.80 (m, 1H), 1.37 (s, 9H), 0.98–0.86 (m, 2H), 0.74–0.62 (m, 2H)","75 MHz, DMSO","157.86, 155.52, 155.10, 154.26, 138.41, 132.39, 128.52, 119.32, 103.36, 77.46, 41.73, 34.99, 28.26, 7.73",36499165.0,Int J Mol Sci. 2022 Nov 27; 23(23):14834,Int J Mol Sci,2022.0,CC BY,2022-12-14 23:40:59,no
PMC2839550,"N-Octyl-N-(2-phosphonoethyl)acrylamide (3e):   Soluble in CHCl3, CH3OH, C2H5OH, CHCl3/CH3OH, CH3OH/H2O, and C2H5OH/H2O. mp = 100.9 °C. IR: 3411, 3390 (OH), 2973, 2929, 2885 (CH2/CH3), 1390 (CH2/CH3), 1078 cm−1 (OH). 1H NMR (CH3OH-d4): δ = 6.6 (P–OH), 6.1 (2), 5.6 (1), 4.9 (6), 3.65 (7), 3.2–3.5 (4, 5, 8–11), 1.95 (12), 1.5 (13) ppm. 13C NMR (CDCl3): δ = 168.4 (3), 129.1 (2), 128.9 (1), 43.8 (6), 33.1 (7), 30.7 (4), 32.5 (11), 30.3 (9, 10), 28.7 /28.0 (8), 27.9/27.5 (5), 23.7 (12), 17.0 (13) ppm.",N-Octyl-N-(2-phosphonoethyl)acrylamide,C=CC(N(CCCCCCCC)CCP(O)(O)=O)=O,"1H NMR (CH3OH-d4): δ = 6.6 (P–OH), 6.1 (2), 5.6 (1), 4.9 (6), 3.65 (7), 3.2–3.5 (4, 5, 8–11), 1.95 (12), 1.5 (13) ppm","13C NMR (CDCl3): δ = 168.4 (3), 129.1 (2), 128.9 (1), 43.8 (6), 33.1 (7), 30.7 (4), 32.5 (11), 30.3 (9, 10), 28.7 /28.0 (8), 27.9/27.5 (5), 23.7 (12), 17.0 (13) ppm",CH3OH-d4,"6.6 (P–OH), 6.1 (2), 5.6 (1), 4.9 (6), 3.65 (7), 3.2–3.5 (4, 5, 8–11), 1.95 (12), 1.5 (13)",CDCl3,"168.4, 129.1, 128.9, 43.8, 33.1, 30.7, 32.5, 30.3, 28.7/28.0, 27.9/27.5, 23.7, 17.0",20300456.0,Beilstein J Org Chem. 2009 Dec 2; 5:72,Beilstein J Org Chem,2009.0,CC BY,2021-02-23 23:15:05,no
PMC9311798,"4-(5-(Trifluoromethyl)benzo[d]thiazol-2-yl)benzene-1,2-diol (1c) Reaction time, 7.5 h; yield, 64.3%; melting point, 267.3–269.4 °C; 1H NMR (500 MHz, CD3OD) δ 8.14 (d, 1H, J = 1.0 Hz, 4′-H), 8.07 (d, 1H, J = 8.5 Hz, 7′-H), 7.59 (dd, 1H, J = 1.0, 8.5 Hz, 6′-H), 7.53 (d, 1H, J = 2.5 Hz, 2-H), 7.42 (dd, 1H, J = 2.5, 8.0 Hz, 6-H), 6.88 (d, 1H, J = 8.0 Hz, 5-H); 13C NMR (125 MHz, CD3OD) δ 171.4 (C2′), 153.3 (C3a′), 149.5 (C4), 145.7 (C3), 138.2 (C7a′), 128.5 (q, J = 32.5 Hz, C5′), 124.4 (q, J = 269.6 Hz, CF3), 124.4 (C1), 122.5 (C7′), 120.7 (q, J = 3.6 Hz, C6′), 120.1 (C6), 118.5 (q, J = 4.3 Hz, C4′), 115.4 (C5), 113.9 (C2); LRMS (ESI+) m/z 312 (M+H)+; LRMS (ESI−) m/z 310 (M−H)−.","4-(5-(Trifluoromethyl)benzo[d]thiazol-2-yl)benzene-1,2-diol",OC1=CC=C(C2=NC3=CC(C(F)(F)F)=CC=C3S2)C=C1O,"1H NMR (500 MHz, CD3OD) δ 8.14 (d, 1H, J = 1.0 Hz, 4′-H), 8.07 (d, 1H, J = 8.5 Hz, 7′-H), 7.59 (dd, 1H, J = 1.0, 8.5 Hz, 6′-H), 7.53 (d, 1H, J = 2.5 Hz, 2-H), 7.42 (dd, 1H, J = 2.5, 8.0 Hz, 6-H), 6.88 (d, 1H, J = 8.0 Hz, 5-H)","13C NMR (125 MHz, CD3OD) δ 171.4 (C2′), 153.3 (C3a′), 149.5 (C4), 145.7 (C3), 138.2 (C7a′), 128.5 (q, J = 32.5 Hz, C5′), 124.4 (q, J = 269.6 Hz, CF3), 124.4 (C1), 122.5 (C7′), 120.7 (q, J = 3.6 Hz, C6′), 120.1 (C6), 118.5 (q, J = 4.3 Hz, C4′), 115.4 (C5), 113.9 (C2)","500 MHz, CD3OD","8.14 (d, 1H, J = 1.0 Hz, 4′-H), 8.07 (d, 1H, J = 8.5 Hz, 7′-H), 7.59 (dd, 1H, J = 1.0, 8.5 Hz, 6′-H), 7.53 (d, 1H, J = 2.5 Hz, 2-H), 7.42 (dd, 1H, J = 2.5, 8.0 Hz, 6-H), 6.88 (d, 1H, J = 8.0 Hz, 5-H)","125 MHz, CD3OD","171.4, 153.3, 149.5, 145.7, 138.2, 128.5, 124.4, 124.4, 122.5, 120.7, 120.1, 118.5, 115.4, 113.9",35883866.0,Antioxidants (Basel). 2022 Jul 15; 11(7):1375,Antioxidants (Basel),2022.0,CC BY,2022-07-26 23:22:26,no
